name,description
Living Cities,"22 Foundations & Financial Institutions building a #NewUrbanPractice that gets dramatically better results for low-income ppl, faster. #collectiveimpact #impinv"
Local Circles,NULL
Marinexplore,NULL
Mighty Software,NULL
MindMixer,NULL
Minnesota E-Democracy,Online engagement leader since 1994 - Highlights from E-Democracy's @incensenhoney @Democracy @MrTimTweets as well as blog posts and info on BeNeighbors.org
Mypp Media Limited,NULL
Data Utility,We build web tools that give people power to get things changed - anywhere in the world.
Neighboy.ly,NULL
Neighborhood Fruit,NULL
Neighbor Tree,NULL
NextDrop Smart Water Systems,"Since 2011, we provide the worlds largest environmental radiation data set, completely open licensed. Tweets by @seanbonner || @safecastjapan (æ—¥æœ¬èª_)"
NoiseTube,NULL
Open Counter Enterprises,NULL
Open North (Citizen Budget),NULL
Judicata,NULL
Jayride,NULL
Janaagraha Centre for Citizenship and Democracy,We aim to transform the quality of life in Indiaâ€™s cities and towns.We work closely with citizens and local governments on civic participation & civic learning.
Yoni Lev,NULL
Sourcemap,NULL
Floodlight,Tell a story. Transform your community.
FOIA Machine,"Prototype platform for journalists and citizens to prepare, file and track public record requests. Tweets by @mikejcorey @shaneshifflett"
Fonds Society Technologies,NULL
FriendsWithThings,"Why buy the drill when all you need is the hole?  Friends with Things is a place where you can borrow things from, or share things with your neighbours for free"
Frontline SMS,"Engage. Everywhere. We help you connect with communities, reach audiences and do business using SMS. Tweets by the team."
Fundacion Ciudadano Inteligente,Promovemos la Transparencia y la ParticipaciÃ_n Ciudadana en AmÃ©rica Latina a travÃ©s de herramientas Web. SÃºmate como activista en http://t.co/qWj4hMaY48
Fundacion Ciudadana Civio,"TecnologÃ_a para la transparencia, participaciÃ_n y apertura de datos. DetrÃ¡s de @tuderechoasaber, dondevanmisimpuestos.es, elindultometro.es, @quien_manda y mÃ¡s"
Spacehive,NULL
Fundacja ePanstwo,"Fundacja ePaÅ„stwo  - otwarte dane, analizy i zaangaÅ_owanie // ePF - open data, policy and engagement"
Glassy Media,Stories connect companies with their customers. Spokepoint helps you get your stories told.
GOOD Worldwide,A magazine for the global citizen
Spare to Share,NULL
GoodGuide,"Find safe, healthy, green and socially responsible products based on scientific ratings."
GovZilla,work smarter with FDA data #regulatory #inspections tweets by CEO Tony Chen
Spending Stories,NULL
Sadia Afroz,NULL
Spinlister,NULL
SpotCrime,Spotting Crime on SpotCrime and MyLocalCrime.  Helping to make crime data open to the public.
SpotCrime,NULL
Stamen Design,NULL
Stichting Govcom,NULL
Street Bank,NULL
Sum of Us,"We are a movement of consumers, investors and workers counterbalancing the power of large corporations to forge a just, sustainable path for the global economy."
StreetLend,"StreetLend - the UK marketplace for sharing everyday items with neighbours and friends. Save money borrowing, make money lending."
Datapolitan,"Data solutions for the modern metropolis. Building capacity of #localgov #publicSector employees in #DataAnalytics, #OpenData, & #CivicTech. Founded by @rdunks1"
Terrance Beckett,NULL
Exversion,"Collaborate, share and version-control data. Join our mailing list for a weekly digest of data news and tutorials https://t.co/M9rjCbwg6f"
Ideascale,"We're interested in innovation, crowdsourcing, communities, ideas, and YOU. Learn more about us at http://t.co/wbCeDRmDCS."
Tamyca Carsharing,Carsharing von Privat fÃ_r Privat und aus den AutohÃ_usern in Deiner Nachbarschaft. GÃ_nstig und Sicher via Smartphone-App.
Textizen,Textizen is a full-service mobile messaging platform for government and community organizations. It's time to reach people where they are.
OurCommonPlace ,NULL
The Freecycle Network,Got something that you don't want any more? Post it on http://t.co/bkmz8pkmDE and find someone in your community who can reuse it. Everything's completely free!
TrustTheVote,The TrustTheVote Project is the flagship open source election technology effort of the OSET Foundation http://t.co/4mzcVkYpJV
Universe,"Use Universe to discover amazing things to do nearby, and sell tickets to your events using the most advanced social tools. #eventprof #bizbash"
Village Defense,NULL
Vizzuality,NULL
Voting Information Project,VIP offers cutting edge tech tools to provide voters with access to customized election information to help them navigate the voting process.
Voto Latino,We're a nonpartisan organization that empowers Latino Millennials to create a better future for themselves and their community.
Weathermob,NULL
BetaNYC,"Improving people's lives though #CivicTech, #OpenData, #OpenGov, & #CivicStartups. Member of @CodeForAmerica's brigade program."
Lucas Museum of Narrative Art ,The Lucas Museum of Narrative Art
Chicagoland Entrepreneurial Center,"For entrepreneurs who've proven their concept & want to build their company into a high-growth, sustainable, world-class business. CEC also manages @1871chicago"
1871,"Where Chicago's digital designers, engineers and entrepreneurs come to build their businesses. Sign up for the 1871 Newsletter: http://t.co/OnYiypd5ev"
Chicago Architectural Foundation,"We âù_ï¸è Design. Tours, exhibitions, programs & events highlighting Chicago architecture.   #chiarchitecture #cafcruise"
TechNexus,"Weâ€™re entrepreneurs. Investors in a new, better venture model to accelerate corporate engagement."
Fermilab,Fermilab's mission is to advance the understanding of the fundamental nature of matter and energy.
Public Allies,Our mission is to create a just and equitable society and the diverse leadership to sustain it. Proudly partnering with AmeriCorps in 23 communities nationwide.
Teamwork Englewood,Teamwork Englewood is the lead non profit in Englewood. Our mission: Improving the Quality of Life in the Englewood and West Englewood Neighborhoods in Chicago.
Catapult,"Catapult Chicago is a peer selected community for startups with business traction. No equity, low rent, legit sponsors, great views and ambitious teams."
Impact Engine,Impact Engine invests in for-profit businesses addressing today's social and environmental challenges. Newsletter: https://t.co/m9pFDwyf9v #socent #impinv
Philadelphia Mayor's Office of New Urban Mechanics,"Mayor Michael A. Nutter's Office of New Urban Mechanics, @PhiladelphiaGov's in-house civic idea incubator"
Jeff Friedman,Runner | Extroverted Introvert | @Microsoft | @OpenAccessPHL | Former @urbanmechanics | Low-Key Type A | Constructive Contrarian | @TempleLaw | Vegetarian
Kristen Titus,"Activist. Technologist. Feminist. Culturalist. Idealist. Founding Director, @NYCTechTalent @nycgov. Fmr Executive Director @GirlsWhoCode."
Knight Foundation,"Knight Foundation supports transformational ideas that promote quality journalism, advance media innovation, engage communities and foster the arts."
Chicagoland Chamber of Commerce,"The Voice of Business Since 1904http://t.co/Q8qG5rhiZ1"
Andrew McLaughlin,betaworks. Digg. Instapaper. [And Ex-X: Ex-White House. Ex-Google. Ex-ICANN. Ex-Berkman. Ex-Stanford Law. Ex-Civic Commons. Ex-Tumblr. Ex-vegetarian. Ex-Xbox.]
Control Group,Follow us at @Intersection_co!
Neighborland,Make your neighborhood better.
Socrata,We work to unleash the power of government data to improve society. DataTweet support directly: @SocrataSupport
Github,How people build software
Challenge Pos,ChallengePost is now Devpost! Follow us @DevpostHacks & http://t.co/HjpRSi9Sk4
Nextdoor,"When neighbors start talking, good things happen. Discover your neighborhood at http://t.co/UG83a0iIeG."
O'Reilly Media,"O'Reilly Media spreads the knowledge of innovators through its books, video training, webcasts, events, and research."
Google,News and updates from Google
Flatiron School,Make yourself useful.
18F,"Changing the way Federal Government builds and buys digital services. We're making things better by focusing on you, dear user. Join us!"
IBM,Official IBM Twitter account. Managed by Brittany Detamore and Katie Keating. Follows the IBM Social Computing Guidelines.
Department of Commerce,Welcome to the official twitter feed of the United States Department of Commerce! Secretary Pritzker tweets from @PennyPritzker.
iTriage,iTriage empowers people to live with health at hand.
PatientsLikeMe,A patient network that improves lives and a real-time research platform that advances medicine. #health20 #hcsm #ePatient #healthdata #openscience
Microsoft Corporation,The official Twitter page for Microsoft consumer products and your source for major announcements and events.
Ontodia,"Ontodia is Big Open Data.  From raw open data to actionable, hyperlocal knowledge.  Makers of CivicDashboards.  Follow us on @civicdashboards"
Joel Natividad,"Open Datanaut, Open Source contributor, SemTech practitioner, Urbanist, Civic Hacker, Futurist, Father, Husband & Entrepreneur on a 3BL mission"
Rachel Haot,"Managing Director at @1776. Former Chief Digital Officer for @nygovcuomo and @nycgov. Mother, wife, entrepreneur, New Yorker."
Aneesh Chopra,"Co-Founder & EVP, Hunch Analytics; Former U.S. CTO & Virginia Sec. of Technology; author of http://t.co/vRtfRXFFYh"
Mike Bracken,"Chief Digital Officer, Co-operative Group"
Jeremy Bird,"@270Strategies Partner; @BGTX @iVoteFund Founder, Board; @BarackObama '12 National Field Dir; Go, @cardinals @arsenal"
Alexander Howard,"Writer, dad, husband, citizen, cyclist. Editor  @ePluribusUnum. Alumnus: @HuffingtonPost @TechRepublic @Radar @TowCenter. Contact me: https://t.co/pEwMJIo8SU"
POPVOX,A neutral nonpartisan advocacy platform meshing real-time legislative data with usersâ€™ personal stories and sentiment in a format optimized for Congress.
UK Government Digital Service,"Government Digital Service - delivering Digital by Default across government (simpler, clearer, faster)"
UI LABS,"UI LABS is a #collaboration platform that brings Universities + Industries together to define problems, design partnerships and deliver scalable solutions."
Andreessen Horowitz,Andreessen Horowitz is a tech VC firm that invests in software eating the world. More about our: https://t.co/xNuFDRYHRj | Subscribe: https://t.co/m4unvi8FIF
OpenGov,"OpenGov is transforming the way governments analyze, share and compare financial data. Schedule a demo at http://t.co/4HDuz8397C."
Manhattan Borough President's Office,Manhattan Borough President
ISOC-NY,Internet Society - New York Chapter
